ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	  1494	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 D CT JUDGE(25) (JONES)        	 Jonathan L. (Jon) Jones       	    	   413	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 D CT JUDGE(25) (OWSLEY)       	 L. Suzanne (San) Owsley       	    	   523	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 D CT JUDGE(25) (OWSLEY)       	 Steve B. Potter               	    	   199	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 DISTRICT ATTORNEY (25)        	 James (Jay) Gaither, Jr.      	 REP	   402	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 DISTRICT ATTORNEY (25)        	 Robert M. Grant, Jr.          	 DEM	   593	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 NC HOUSE (89)                 	 Barry Woodfin                 	 LIB	   160	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 NC HOUSE (89)                 	 Mitchell S. Setzer            	 REP	   644	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 NC SENATE  (42)               	 James (Jim) Forrester         	 REP	   675	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPERIOR COURT JUDGE (25B)    	 J. David Abernethy            	    	   316	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPERIOR COURT JUDGE (25B)    	 Nathaniel J. (Nathan) Poovey  	    	   590	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   538	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   406	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   424	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   531	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US HOUSE (10TH DISTRICT)      	 Cass Ballenger                	 REP	   539	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US HOUSE (10TH DISTRICT)      	 Christopher M. Hill           	 LIB	    32	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US HOUSE (10TH DISTRICT)      	 Ron Daugherty                 	 DEM	   440	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US SENATE                     	 Elizabeth H. Dole             	 REP	   559	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US SENATE                     	 Erskine B. Bowles             	 DEM	   437	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 32    	 SOUTH NEWTON                                 	 US SENATE                     	 Sean Haugh                    	 LIB	    21	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   603	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	  1192	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	  1208	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   572	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	  1229	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   576	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	  1147	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   645	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   542	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	  1274	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (ABERNETHY)    	 Amy R. Sigmon                 	    	  1223	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (BRADY)        	 Bob Brady                     	    	  1115	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (EDWARDS)      	 C. Thomas Edwards             	    	  1077	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (HAYES)        	 Gregory R. (Greg) Hayes       	    	   962	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (HAYES)        	 Jason R. Parker               	    	   572	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (HODGES)       	 Richard S. Holloway           	    	   320	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (HODGES)       	 Sherri Wilson Elliott         	    	  1188	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (JONES)        	 John R. Mull                  	    	   607	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (JONES)        	 Jonathan L. (Jon) Jones       	    	   725	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (OWSLEY)       	 L. Suzanne (San) Owsley       	    	   983	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 D CT JUDGE(25) (OWSLEY)       	 Steve B. Potter               	    	   438	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 DISTRICT ATTORNEY (25)        	 James (Jay) Gaither, Jr.      	 REP	  1137	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 DISTRICT ATTORNEY (25)        	 Robert M. Grant, Jr.          	 DEM	   758	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 NC HOUSE (88)                 	 Mark K. Hilton                	 REP	  1565	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 NC SENATE  (44)               	 Austin Allran                 	 REP	  1559	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPERIOR COURT JUDGE (25B)    	 J. David Abernethy            	    	   631	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPERIOR COURT JUDGE (25B)    	 Nathaniel J. (Nathan) Poovey  	    	  1144	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	  1332	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   487	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   549	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	  1290	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US HOUSE (10TH DISTRICT)      	 Cass Ballenger                	 REP	  1218	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US HOUSE (10TH DISTRICT)      	 Christopher M. Hill           	 LIB	    62	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US HOUSE (10TH DISTRICT)      	 Ron Daugherty                 	 DEM	   659	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US SENATE                     	 Elizabeth H. Dole             	 REP	  1324	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US SENATE                     	 Erskine B. Bowles             	 DEM	   588	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 33    	 SPRINGS                                      	 US SENATE                     	 Sean Haugh                    	 LIB	    37	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   486	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   912	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   915	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   480	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   949	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   450	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   879	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   522	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   444	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   964	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (ABERNETHY)    	 Amy R. Sigmon                 	    	   938	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (BRADY)        	 Bob Brady                     	    	   863	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (EDWARDS)      	 C. Thomas Edwards             	    	   831	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (HAYES)        	 Gregory R. (Greg) Hayes       	    	   686	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (HAYES)        	 Jason R. Parker               	    	   522	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (HODGES)       	 Richard S. Holloway           	    	   285	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (HODGES)       	 Sherri Wilson Elliott         	    	   884	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (JONES)        	 John R. Mull                  	    	   442	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (JONES)        	 Jonathan L. (Jon) Jones       	    	   612	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (OWSLEY)       	 L. Suzanne (San) Owsley       	    	   752	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 D CT JUDGE(25) (OWSLEY)       	 Steve B. Potter               	    	   341	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 DISTRICT ATTORNEY (25)        	 James (Jay) Gaither, Jr.      	 REP	   836	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 DISTRICT ATTORNEY (25)        	 Robert M. Grant, Jr.          	 DEM	   657	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 NC HOUSE (89)                 	 Barry Woodfin                 	 LIB	   180	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 NC HOUSE (89)                 	 Mitchell S. Setzer            	 REP	  1117	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 NC SENATE  (42)               	 James (Jim) Forrester         	 REP	  1191	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPERIOR COURT JUDGE (25B)    	 J. David Abernethy            	    	   487	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPERIOR COURT JUDGE (25B)    	 Nathaniel J. (Nathan) Poovey  	    	   912	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	  1027	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   382	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   426	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	  1001	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US HOUSE (10TH DISTRICT)      	 Cass Ballenger                	 REP	   930	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US HOUSE (10TH DISTRICT)      	 Christopher M. Hill           	 LIB	    65	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US HOUSE (10TH DISTRICT)      	 Ron Daugherty                 	 DEM	   517	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US SENATE                     	 Elizabeth H. Dole             	 REP	  1033	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US SENATE                     	 Erskine B. Bowles             	 DEM	   455	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 34    	 STARTOWN                                     	 US SENATE                     	 Sean Haugh                    	 LIB	    37	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   240	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   340	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   353	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   222	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   351	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   232	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   334	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   244	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   216	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   367	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (ABERNETHY)    	 Amy R. Sigmon                 	    	   370	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (BRADY)        	 Bob Brady                     	    	   332	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (EDWARDS)      	 C. Thomas Edwards             	    	   322	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (HAYES)        	 Gregory R. (Greg) Hayes       	    	   261	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (HAYES)        	 Jason R. Parker               	    	   224	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (HODGES)       	 Richard S. Holloway           	    	   118	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (HODGES)       	 Sherri Wilson Elliott         	    	   351	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (JONES)        	 John R. Mull                  	    	   231	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (JONES)        	 Jonathan L. (Jon) Jones       	    	   200	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (OWSLEY)       	 L. Suzanne (San) Owsley       	    	   300	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 D CT JUDGE(25) (OWSLEY)       	 Steve B. Potter               	    	   150	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 DISTRICT ATTORNEY (25)        	 James (Jay) Gaither, Jr.      	 REP	   346	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 DISTRICT ATTORNEY (25)        	 Robert M. Grant, Jr.          	 DEM	   267	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 NC HOUSE (88)                 	 Mark K. Hilton                	 REP	    43	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 NC HOUSE (89)                 	 Barry Woodfin                 	 LIB	    88	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 NC HOUSE (89)                 	 Mitchell S. Setzer            	 REP	   372	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 NC SENATE  (42)               	 James (Jim) Forrester         	 REP	   451	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPERIOR COURT JUDGE (25B)    	 J. David Abernethy            	    	   231	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPERIOR COURT JUDGE (25B)    	 Nathaniel J. (Nathan) Poovey  	    	   330	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	   386	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	   196	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	   230	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 SUPREME COURT (ORR)           	 Robert F. (Bob) Orr           	 REP	   358	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US HOUSE (10TH DISTRICT)      	 Cass Ballenger                	 REP	   343	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US HOUSE (10TH DISTRICT)      	 Christopher M. Hill           	 LIB	    23	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US HOUSE (10TH DISTRICT)      	 Ron Daugherty                 	 DEM	   251	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US SENATE                     	 Elizabeth H. Dole             	 REP	   378	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US SENATE                     	 Erskine B. Bowles             	 DEM	   237	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US SENATE                     	 Paul G. DeLaney  (Write In)   	    	     0	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 35    	 SWEETWATER                                   	 US SENATE                     	 Sean Haugh                    	 LIB	    12	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	   268	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	   687	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	   694	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	   258	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	   665	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	   300	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	   646	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	   309	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	   268	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	   699	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (ABERNETHY)    	 Amy R. Sigmon                 	    	   628	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (BRADY)        	 Bob Brady                     	    	   589	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (EDWARDS)      	 C. Thomas Edwards             	    	   573	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (HAYES)        	 Gregory R. (Greg) Hayes       	    	   511	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (HAYES)        	 Jason R. Parker               	    	   301	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (HODGES)       	 Richard S. Holloway           	    	   200	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (HODGES)       	 Sherri Wilson Elliott         	    	   516	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (JONES)        	 John R. Mull                  	    	   334	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (JONES)        	 Jonathan L. (Jon) Jones       	    	   351	 2002-11-20 13:31:36.310
CATAWBA     	 11/05/2002	 36    	 VIEWMONT #1                                  	 D CT JUDGE(25) (OWSLEY)       	 L. Suzanne (San) Owsley       	    	   705	 2002-11-20 13:31:36.310
